User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Charging Duration (hours),Charging Rate(Kw),Charging Cost (USD),Time of Day,Energy Consumed (kwh),Day of Week,State of Charge (Start %),Distance Driven (since last charge) (km),State of Charge (End %),Temperature (°C),Vehicle Age (years),Charger Type,User Type,Latitude,Longitude,Calculation1,Calculation2,Calculation3
User_29,BMW i3,75,Station_129,Los Angeles,02-01-2024 04:00:00,02-01-2024 04:35:00,2.439677938,48.648723191,25.617103996,Afternoon,31.684484587,Friday,34.727639096,153.596787736,54.402050385,20.378562310,3,Level 2,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_30,BMW i3,75,Station_438,Chicago,02-01-2024 05:00:00,02-01-2024 07:58:00,3.153257255,45.811731002,33.132091780,Afternoon,56.593256859,Friday,29.207671702,186.155732101,85.008106241,12.333415374,0,DC Fast Charger,Casual Driver,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_31,Chevy Bolt,100,Station_239,New York,02-01-2024 06:00:00,02-01-2024 09:54:00,1.435532787,7.043936342,36.945272915,Afternoon,19.473800595,Wednesday,31.320786980,153.596787736,78.056652818,8.352906077,2,DC Fast Charger,Casual Driver,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_32,BMW i3,100,Station_58,Chicago,02-01-2024 07:00:00,02-01-2024 09:27:00,2.007664054,12.064391459,17.011782946,Evening,38.289199336,Wednesday,75.644778479,238.909310963,65.617307186,2.273162901,6,Level 1,Commuter,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_33,BMW i3,100,Station_198,New York,02-01-2024 08:00:00,02-01-2024 09:58:00,1.306927272,21.517815049,26.438194237,Evening,16.136238725,Monday,23.603991432,35.503883194,88.200072801,39.384013915,1,Level 2,Casual Driver,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_34,Tesla Model 3,62,Station_211,Houston,02-01-2024 09:00:00,02-01-2024 12:03:00,0.999100188,7.651570047,18.034390041,Afternoon,60.067085089,Monday,22.881466626,46.357558861,51.434278682,13.991597483,1,Level 2,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_35,Chevy Bolt,75,Station_402,Houston,02-01-2024 10:00:00,02-01-2024 13:32:00,1.873581597,4.485647105,35.503000170,Afternoon,57.724379461,Friday,41.872479642,157.614654008,79.647972775,28.429807377,1.809172868,DC Fast Charger,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_36,Hyundai Kona,75,Station_390,New York,02-01-2024 11:00:00,02-01-2024 14:16:00,2.891676984,18.865801961,29.866249926,Evening,37.374516061,Tuesday,24.492208584,76.203539219,73.380175726,59.931973866,4,Level 1,Commuter,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_37,Chevy Bolt,75,Station_45,Chicago,02-01-2024 12:00:00,02-01-2024 15:10:00,3.470003434,28.625199327,15.855327431,Evening,39.940563620,Thursday,85.857555800,102.430302182,50.403654741,31.461309017,1,DC Fast Charger,Casual Driver,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_38,Hyundai Kona,75,Station_97,New York,02-01-2024 13:00:00,02-01-2024 13:43:00,1.040452305,38.450831901,15.882703984,Night,73.386619523,Wednesday,49.275387528,42.095743944,94.597081904,33.929570373,6,DC Fast Charger,Long-Distance Traveler,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_39,Tesla Model 3,85,Station_279,Los Angeles,02-01-2024 14:00:00,02-01-2024 15:25:00,1.280410708,12.510248962,26.505712981,Afternoon,61.520759861,Monday,87.984621380,141.243753498,79.388443383,5.761050674,7,Level 2,Commuter,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_40,Nissan Leaf,100,Station_23,Houston,02-01-2024 15:00:00,02-01-2024 16:50:00,3.242446058,23.311619083,8.498571937,Morning,68.177850036,Thursday,17.040420024,130.376013762,56.078651008,-3.191455366,2,Level 2,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_41,BMW i3,79.799203761,Station_410,Los Angeles,02-01-2024 16:00:00,02-01-2024 18:58:00,1.962340540,6.897878330,29.222361949,Night,67.518058223,Sunday,80.862588634,119.630992335,62.525317766,35.233158487,1.969232722,Level 2,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_42,Tesla Model 3,100,Station_461,Houston,02-01-2024 17:00:00,02-01-2024 18:15:00,2.397715361,20.460364869,26.619717749,Morning,39.398742356,Saturday,28.252298261,111.016539502,96.287092239,19.781083892,2.941663235,Level 2,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_43,BMW i3,85,Station_391,Houston,02-01-2024 18:00:00,02-01-2024 20:53:00,1.373881358,29.468944358,32.042098599,Night,12.049319706,Saturday,36.636852158,83.245221426,66.976104324,39.416130924,4,Level 1,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_44,Nissan Leaf,48.796482640,Station_335,San Francisco,02-01-2024 19:00:00,02-01-2024 19:45:00,3.030202685,8.388039538,6.364629694,Afternoon,77.053606375,Friday,15.144122471,144.013981193,84.342326869,22.069470801,1,DC Fast Charger,Casual Driver,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_45,Nissan Leaf,75,Station_44,Los Angeles,02-01-2024 20:00:00,02-01-2024 22:29:00,3.296056589,5.114613366,30.037968888,Morning,40.480082812,Wednesday,15.220938965,49.384266364,132.952010550,32.014576540,3.680052856,Level 2,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_46,Tesla Model 3,62,Station_27,Los Angeles,02-01-2024 21:00:00,02-01-2024 22:53:00,3.877992453,16.918331984,10.608875788,Evening,46.807195945,Saturday,49.298765507,210.171097191,90.970675227,-0.039079031,1,DC Fast Charger,Commuter,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_47,Nissan Leaf,75,Station_282,San Francisco,02-01-2024 22:00:00,03-01-2024 01:06:00,2.105117079,49.600799648,19.030700213,Night,67.475466140,Sunday,63.035941874,97.453904929,81.750953504,3.194124642,5,Level 1,Commuter,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_48,Hyundai Kona,62,Station_97,Chicago,02-01-2024 23:00:00,02-01-2024 23:37:00,1.633668608,6.352661445,18.131831712,Morning,30.710934027,Wednesday,76.120053358,18.934515488,76.682430906,27.895176779,0,Level 2,Commuter,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_49,Nissan Leaf,85,Station_463,Los Angeles,03-01-2024 00:00:00,03-01-2024 01:57:00,1.743435263,14.149666187,13.112873666,Night,40.480082812,Monday,77.809422818,212.940341808,87.948114481,-4.446670670,1,Level 1,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_50,BMW i3,100,Station_36,New York,03-01-2024 01:00:00,03-01-2024 03:40:00,2.209542823,49.275345589,9.644101414,Afternoon,8.713190576,Saturday,27.196196013,170.475054123,86.893917640,5.378079584,6,Level 2,Long-Distance Traveler,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_51,BMW i3,85,Station_109,San Francisco,03-01-2024 02:00:00,03-01-2024 02:48:00,0.512378183,40.178001991,24.501893310,Morning,9.065880815,Tuesday,13.873858113,226.219363165,93.628423063,30.691983802,2.616332483,DC Fast Charger,Casual Driver,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_52,BMW i3,50,Station_55,Los Angeles,03-01-2024 03:00:00,03-01-2024 05:06:00,1.889261518,13.175727296,28.102310057,Morning,58.733973617,Saturday,83.861926908,57.380724252,71.374482509,1.941105156,3,Level 1,Commuter,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_53,BMW i3,50,Station_192,Chicago,03-01-2024 04:00:00,03-01-2024 05:35:00,3.313802358,46.278443313,18.849610405,Morning,65.986249127,Wednesday,17.389667142,234.996661573,73.438039624,-7.719425911,0,Level 2,Long-Distance Traveler,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_54,Hyundai Kona,62,Station_219,Los Angeles,03-01-2024 05:00:00,03-01-2024 06:48:00,1.911303154,35.925126124,34.086618658,Night,74.999706434,Tuesday,87.289305799,51.828352017,80.416417295,17.805383646,5,DC Fast Charger,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_55,Chevy Bolt,100,Station_185,Houston,03-01-2024 06:00:00,03-01-2024 07:55:00,3.314079763,34.458241937,9.798498138,Evening,17.769436409,Thursday,27.697492486,166.311462999,70.510267249,19.703359179,4,DC Fast Charger,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_56,Tesla Model 3,76.876100376,Station_69,New York,03-01-2024 07:00:00,03-01-2024 09:33:00,1.678358420,36.303372348,38.941939963,Evening,50.268934074,Saturday,13.488270687,133.992093643,82.695211858,3.042829341,0,DC Fast Charger,Casual Driver,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_57,BMW i3,69.884074249,Station_317,San Francisco,03-01-2024 08:00:00,03-01-2024 11:51:00,3.873449981,11.339063163,30.192234439,Evening,76.450464987,Wednesday,63.674463436,191.937914994,55.389776084,10.424645030,2,Level 2,Commuter,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_58,Nissan Leaf,62,Station_130,Houston,03-01-2024 09:00:00,03-01-2024 12:59:00,0.917902247,47.154009804,28.303191116,Afternoon,77.863726760,Saturday,56.917421763,129.389411109,57.465682250,38.466779446,3,DC Fast Charger,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_59,BMW i3,100,Station_55,Chicago,03-01-2024 10:00:00,03-01-2024 12:59:00,1.285283897,25.373954305,8.637821691,Morning,21.892992675,Saturday,80.225533806,148.415611663,64.667361883,5.073167724,7,DC Fast Charger,Casual Driver,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_60,Nissan Leaf,100,Station_378,Houston,03-01-2024 11:00:00,03-01-2024 12:15:00,2.413754937,40.616399230,6.744728812,Evening,71.280004162,Wednesday,26.156597951,140.465213171,89.924588528,33.057730806,5,Level 2,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_61,Nissan Leaf,62,Station_97,Houston,03-01-2024 12:00:00,03-01-2024 14:22:00,2.082100007,26.507123222,36.068041496,Evening,21.827688177,Tuesday,33.255985092,48.044387156,51.501132267,38.656443957,7,Level 1,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_62,BMW i3,75,Station_336,Chicago,03-01-2024 13:00:00,03-01-2024 15:00:00,2.117893350,30.997026934,30.044442353,Morning,62.723162291,Monday,82.844180066,282.942321774,72.833285687,32.852732624,7,DC Fast Charger,Casual Driver,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_63,Hyundai Kona,124.315911386,Station_87,Houston,03-01-2024 14:00:00,03-01-2024 16:50:00,0.650507579,47.877523558,30.864180858,Afternoon,46.195137001,Sunday,53.005185327,25.027257256,59.901646273,6.171256709,1,Level 2,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_64,Nissan Leaf,100,Station_294,San Francisco,03-01-2024 15:00:00,03-01-2024 16:02:00,2.482090675,6.871184621,24.649758730,Night,29.345659857,Saturday,85.331419019,127.021801060,67.477905626,34.061939191,0,Level 1,Long-Distance Traveler,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_65,Nissan Leaf,50,Station_119,Los Angeles,03-01-2024 16:00:00,03-01-2024 18:42:00,2.123420200,34.176855503,34.228301905,Night,76.933421900,Friday,27.174615334,295.893722075,92.144633697,7.941688092,2.591851328,DC Fast Charger,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_66,BMW i3,62,Station_208,Houston,03-01-2024 17:00:00,03-01-2024 18:46:00,1.279620696,24.646181905,12.220438304,Night,59.254601664,Thursday,77.036973987,167.297572773,91.829274871,35.271450686,7,Level 2,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_67,Nissan Leaf,100,Station_334,San Francisco,03-01-2024 18:00:00,03-01-2024 21:04:00,1.609099433,15.230062588,37.875334577,Morning,37.062927779,Wednesday,7.520444727,98.145981020,67.797872650,16.483705935,2,Level 2,Long-Distance Traveler,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_68,Nissan Leaf,85,Station_413,Los Angeles,03-01-2024 19:00:00,03-01-2024 21:30:00,0.857582465,32.975068741,13.775619213,Afternoon,67.695161751,Saturday,22.488399811,81.284500377,86.777666114,-7.332648304,6,DC Fast Charger,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_69,BMW i3,75,Station_154,Los Angeles,03-01-2024 20:00:00,03-01-2024 22:37:00,1.702974822,24.646181905,21.667786644,Morning,16.414016933,Sunday,36.950283611,188.471489818,77.136164935,18.538710818,7,Level 1,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_70,BMW i3,50,Station_35,Houston,03-01-2024 21:00:00,03-01-2024 22:47:00,3.608030961,4.092360865,14.423966391,Night,67.005682143,Monday,57.677660751,276.368430312,57.112862249,-2.724902766,4.122767457,Level 1,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_71,Tesla Model 3,75,Station_79,San Francisco,03-01-2024 22:00:00,04-01-2024 01:01:00,3.280142969,26.070413627,15.470777907,Evening,70.617292595,Wednesday,86.226025196,23.003998749,57.969655423,34.847907975,2.771346484,Level 1,Commuter,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_72,Hyundai Kona,75,Station_67,Houston,03-01-2024 23:00:00,04-01-2024 00:36:00,0.947277209,23.281804960,37.148981728,Evening,61.130475830,Saturday,34.899043749,58.855315518,92.355661175,7.662649709,1,DC Fast Charger,Long-Distance Traveler,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_73,Hyundai Kona,85,Station_343,Chicago,04-01-2024 00:00:00,04-01-2024 02:24:00,1.569470714,29.989222502,10.709582024,Evening,22.882038422,Thursday,15.674485470,98.474027093,96.597702418,19.213164487,3,DC Fast Charger,Commuter,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_74,Nissan Leaf,59.832726512,Station_413,Los Angeles,04-01-2024 01:00:00,04-01-2024 02:32:00,0.581504778,40.884098898,15.197334165,Night,12.894887186,Friday,31.549182204,183.171281149,97.462540982,28.637604323,2,Level 1,Long-Distance Traveler,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_75,Hyundai Kona,85,Station_34,Houston,04-01-2024 02:00:00,04-01-2024 04:22:00,2.285242161,5.557358509,20.766464408,Afternoon,69.169167056,Wednesday,41.089044871,276.574819156,74.399518529,20.014324466,4,Level 1,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_76,Nissan Leaf,50,Station_97,Los Angeles,04-01-2024 03:00:00,04-01-2024 05:03:00,3.520690376,9.569245073,24.790723233,Night,40.480082812,Saturday,51.281403473,171.896153232,93.198462832,-5.275727980,4,Level 1,Commuter,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_77,Tesla Model 3,100,Station_169,San Francisco,04-01-2024 04:00:00,04-01-2024 05:17:00,3.865136107,49.411519257,39.931680760,Morning,49.278837399,Tuesday,86.326988243,246.344369711,75.501510440,30.082058807,0,Level 1,Long-Distance Traveler,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_78,BMW i3,75,Station_169,New York,04-01-2024 05:00:00,04-01-2024 08:40:00,3.340997592,30.025912672,17.604895313,Afternoon,31.218889684,Monday,39.517616763,242.485562906,71.271764636,39.831429771,3,Level 2,Commuter,40.7128,-74.006,40.480082812,24.646181905,153.596787736
User_79,BMW i3,100,Station_151,Houston,04-01-2024 06:00:00,04-01-2024 09:55:00,1.028818667,28.522353335,39.322054380,Evening,30.651699819,Friday,38.121329993,12.149516678,81.197210840,-4.932743443,1,DC Fast Charger,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_80,BMW i3,75,Station_71,Houston,04-01-2024 07:00:00,04-01-2024 07:41:00,3.729365400,23.417921150,15.683016563,Afternoon,59.986476733,Wednesday,88.096768464,281.763740324,96.130568592,15.060622449,0,Level 1,Commuter,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_81,Hyundai Kona,48.050694726,Station_3,Los Angeles,04-01-2024 08:00:00,04-01-2024 11:05:00,0.691755364,46.595678415,18.011811779,Afternoon,51.673747794,Saturday,55.072174078,222.274666689,62.935780109,2.554243803,7,Level 2,Casual Driver,34.0522,-118.2437,40.480082812,24.646181905,153.596787736
User_82,Tesla Model 3,50,Station_314,San Francisco,04-01-2024 09:00:00,04-01-2024 12:21:00,2.725560846,25.601620872,19.283522697,Night,35.907242653,Friday,48.887624256,93.857867686,43.050756122,33.076751460,6,Level 1,Casual Driver,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_83,Hyundai Kona,85,Station_32,Chicago,04-01-2024 10:00:00,04-01-2024 13:20:00,0.807068745,24.646181905,29.532932866,Afternoon,41.607833533,Tuesday,54.997649082,94.645250165,97.261616243,17.737387790,3,Level 1,Commuter,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_84,Hyundai Kona,62,Station_287,San Francisco,04-01-2024 11:00:00,04-01-2024 13:54:00,3.408638345,44.492366140,39.674823385,Night,32.832956832,Wednesday,26.654722048,279.898272048,63.710626919,5.803389498,1,Level 2,Casual Driver,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_85,Tesla Model 3,50,Station_82,Houston,04-01-2024 12:00:00,04-01-2024 13:09:00,1.261117293,12.538161907,19.817322908,Morning,57.924450041,Friday,49.872034053,64.135454837,54.261433021,1.825449687,1,Level 1,Casual Driver,29.7604,-95.3698,40.480082812,24.646181905,153.596787736
User_86,Tesla Model 3,100,Station_43,Chicago,04-01-2024 13:00:00,04-01-2024 16:26:00,1.894426888,32.954510815,18.025509987,Afternoon,21.656164116,Wednesday,78.434628264,170.557725371,97.725440364,10.401511433,3,Level 1,Casual Driver,41.8781,-87.6298,40.480082812,24.646181905,153.596787736
User_87,Tesla Model 3,62,Station_391,San Francisco,04-01-2024 14:00:00,04-01-2024 15:54:00,3.366955775,45.320109598,18.066521735,Afternoon,41.010581745,Wednesday,73.622836839,103.788306140,83.054273358,-4.572249344,3,Level 2,Commuter,37.7749,-122.4194,40.480082812,24.646181905,153.596787736
User_88,Tesla Model 3,62,Station_105,New York,04-01-2024 15:00:00,04-01-2024 16:26:00,2.606479629,13.009732231,35.971316971,Afternoon,79.818694471,Friday,86.111756501,274.020653915,69.395631519,10.692210090,2,Level 2,Casual Driver,40.7128,-74.006,40.480082812,24.646181905,153.596787736
